Time      x1      y1      z1	x2	y2	z2	x3	y3	z3	x4	y4	z4
59.836	-1.61224	0.978045	0.151254	-1.60521	1.26005	0.147438	-2.00453	1.27936	0.155506
60.012	-1.60173	0.977524	0.151617	-1.59508	1.25971	0.148885	-1.99371	1.27833	0.154616
60.159	-1.59292	0.977323	0.152186	-1.58588	1.25927	0.148582	-1.98536	1.27828	0.155504
60.317	-1.5839	0.976929	0.152416	-1.57674	1.25888	0.149165	-1.97565	1.27765	0.154064
60.574	-1.57482	0.97711	0.153197	-1.56818	1.25882	0.149647	-1.96683	1.27717	0.153973
60.777	-1.56339	0.977479	0.154489	-1.55556	1.25863	0.148831	-1.95504	1.27785	0.155054
60.916	-1.55278	0.976354	0.152855	-1.54617	1.25837	0.149021	-1.94521	1.27715	0.15465
61.057	-1.54249	0.975894	0.153404	-1.53637	1.25822	0.149995	-1.93488	1.2762	0.153793
61.28	-1.53237	0.975383	0.153447	-1.52631	1.25782	0.150368	-1.92491	1.27574	0.153715
61.431	-1.52223	0.975468	0.154208	-1.51548	1.25714	0.150139	-1.91469	1.27509	0.154187
61.619	-1.51138	0.974623	0.15346	-1.50542	1.25692	0.150659	-1.90404	1.27452	0.1539
61.891	-1.49773	0.974149	0.153513	-1.49119	1.25632	0.149754	-1.89046	1.27404	0.15395
62.056	-1.48632	0.974047	0.153641	-1.47982	1.25615	0.148963	-1.87935	1.27369	0.153975
62.208	-1.47515	0.973826	0.153837	-1.46891	1.25567	0.149015	-1.86814	1.27347	0.153915
62.424	-1.46384	0.973664	0.154482	-1.45733	1.25548	0.149251	-1.85724	1.27307	0.154597
62.62	-1.45234	0.973072	0.154138	-1.44592	1.25506	0.150107	-1.84588	1.27255	0.154779
62.838	-1.44026	0.97279	0.154242	-1.43419	1.25438	0.149905	-1.83391	1.27186	0.15414
63.016	-1.42521	0.97226	0.154115	-1.41917	1.25417	0.150021	-1.81878	1.27114	0.153768
63.196	-1.41276	0.971811	0.153751	-1.40731	1.25379	0.150848	-1.80628	1.27039	0.153999
63.297	-1.40007	0.971119	0.153153	-1.39396	1.25326	0.149833	-1.79372	1.27005	0.155146
63.518	-1.39373	0.970674	0.153416	-1.38781	1.2528	0.150325	-1.78706	1.26975	0.155102
63.714	-1.37467	0.969562	0.154143	-1.36819	1.2518	0.151223	-1.76838	1.27007	0.157114
63.929	-1.3618	0.968947	0.15429	-1.35495	1.25119	0.151244	-1.75441	1.26922	0.156244
64.107	-1.34545	0.968625	0.154709	-1.33893	1.25038	0.151657	-1.73798	1.26905	0.156182
64.292	-1.33248	0.968631	0.155156	-1.32489	1.25029	0.150592	-1.72428	1.2688	0.156045
64.47	-1.31822	0.967995	0.154284	-1.31138	1.25011	0.150548	-1.7098	1.26893	0.157186
64.648	-1.30435	0.967682	0.154902	-1.29778	1.24974	0.150879	-1.69688	1.26786	0.15665
64.834	-1.2905	0.966993	0.154707	-1.28389	1.24939	0.15142	-1.68294	1.26727	0.156654
65.059	-1.27623	0.966711	0.154593	-1.27021	1.2488	0.152082	-1.66963	1.26657	0.157469
65.241	-1.25826	0.9657	0.154224	-1.25187	1.24785	0.151256	-1.65142	1.26618	0.157447
65.423	-1.24352	0.965191	0.154011	-1.23724	1.24728	0.150371	-1.63619	1.26539	0.156532
65.601	-1.22857	0.964662	0.153303	-1.22228	1.24689	0.150194	-1.62202	1.26509	0.158194
65.777	-1.21422	0.964008	0.153679	-1.20729	1.24586	0.150782	-1.60738	1.26453	0.159059
65.974	-1.19938	0.963225	0.154777	-1.19277	1.2452	0.151637	-1.59218	1.26385	0.159014
66.19	-1.18467	0.962516	0.154593	-1.17751	1.24457	0.151867	-1.57741	1.26331	0.158574
66.371	-1.16505	0.96204	0.154986	-1.15887	1.24402	0.152001	-1.5582	1.2628	0.158074
66.552	-1.14969	0.961393	0.155077	-1.14337	1.24348	0.1522	-1.5426	1.26219	0.158471
